trade_date,ts_code,close,settle,vol,amount,oi
20200602,AL2007.SHF,13025.0,13085.0,87361.0,571664.785,148569.0
20200601,AL2007.SHF,13160.0,13165.0,85265.0,561419.815,147941.0
20200529,AL2007.SHF,13215.0,13155.0,105261.0,692497.6975,151432.0
20200528,AL2007.SHF,13155.0,13105.0,116601.0,764187.6675,160386.0
20200527,AL2007.SHF,13015.0,12965.0,121209.0,785951.665,157001.0
20200526,AL2007.SHF,12940.0,12905.0,88337.0,570164.0525,160794.0
20200525,AL2007.SHF,12840.0,12825.0,81336.0,521750.8975,157683.0
20200522,AL2007.SHF,12790.0,12800.0,123283.0,789303.71,157674.0
20200521,AL2007.SHF,12775.0,12845.0,162060.0,1040854.83,156694.0
20200520,AL2007.SHF,12875.0,12870.0,91086.0,586172.7025,160020.0
20200519,AL2007.SHF,12850.0,12875.0,131248.0,845149.515,157060.0
20200518,AL2007.SHF,12760.0,12685.0,137366.0,871543.9475,160025.0
20200515,AL2007.SHF,12600.0,12560.0,92705.0,582408.17,154231.0
20200514,AL2007.SHF,12530.0,12485.0,86524.0,540217.8725,149575.0
20200513,AL2007.SHF,12495.0,12400.0,119178.0,739100.21,149492.0
20200512,AL2007.SHF,12415.0,12510.0,84721.0,529947.005,147878.0
20200511,AL2007.SHF,12535.0,12505.0,83909.0,524737.1525,141773.0
20200508,AL2007.SHF,12430.0,12405.0,104979.0,651236.29,143359.0
20200507,AL2007.SHF,12460.0,12510.0,80385.0,502935.88,130823.0
20200506,AL2007.SHF,12585.0,12560.0,71746.0,450665.3025,127232.0
20200430,AL2007.SHF,12500.0,12450.0,63365.0,394526.31,122139.0
20200429,AL2006.SHF,12585.0,12585.0,97150.0,611386.68,116177.0
20200428,AL2006.SHF,12485.0,12460.0,88978.0,554436.93,123726.0
20200427,AL2006.SHF,12410.0,12370.0,82017.0,507384.7925,124995.0
20200424,AL2006.SHF,12285.0,12280.0,74055.0,454773.095,123689.0
20200423,AL2006.SHF,12245.0,12310.0,93094.0,573045.88,129026.0
20200422,AL2006.SHF,12195.0,12135.0,116790.0,708764.38,128027.0
20200421,AL2006.SHF,12105.0,12135.0,138785.0,842234.795,127159.0
20200420,AL2006.SHF,12340.0,12350.0,128665.0,794802.54,131213.0
20200417,AL2006.SHF,12410.0,12255.0,122074.0,748184.51,135283.0
20200416,AL2006.SHF,12085.0,12020.0,106675.0,641255.98,136020.0
