cal_date,ppi_yoy,ppi_mom,ppi_accu,nt_val,town_val,cnt_val,m0,m1,m2,gdp,pi,si,ti,trade_date,ts_code,close,settle,vol,amount,oi
20180828,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180828.0,AL1810.SHF,14970.0,14785.0,193638.0,1431657.055,271548.0
20180829,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180829.0,AL1810.SHF,14875.0,14965.0,313334.0,2345057.565,257810.0
20180830,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180830.0,AL1810.SHF,14950.0,14970.0,215034.0,1609559.965,254168.0
20180831,4.1,0.4,4.0,102.3,102.3,102.3,69775.39,538324.64,1788670.43,646710.9,39799.8,261822.8,345088.2,20180831.0,AL1810.SHF,14890.0,14885.0,220958.0,1644923.56,244496.0
20180903,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180903.0,AL1810.SHF,14845.0,14855.0,183428.0,1362476.025,225222.0
20180904,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180904.0,AL1811.SHF,14830.0,14850.0,139294.0,1034544.285,260498.0
20180905,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180905.0,AL1811.SHF,14670.0,14710.0,234586.0,1725691.9,266710.0
20180906,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180906.0,AL1811.SHF,14685.0,14710.0,180360.0,1326633.405,274446.0
20180907,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180907.0,AL1811.SHF,14655.0,14665.0,226266.0,1659416.705,273210.0
20180910,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180910.0,AL1811.SHF,14645.0,14710.0,215036.0,1582059.995,277284.0
